tempc,precipmm,humidity,windspeedkmph,visibility,pressure,cloudcover,heatindexC,dewpointC,windchillC,windgustkmph,uvindex,time_new,datetime,icon,desc,temp,templow,baro,wind,wd,hum,year,month,day
25,0.0,73,14,10,1011,16,27,20,25,20,1,0,2018-01-01,14.0,Haze.,22.0,22.0,1011.0,1.0,120.0,87.0,2018,1,1
25,0.0,73,15,10,1011,17,27,20,25,21,1,1,2018-01-01,14.0,Haze.,22.0,22.0,1011.0,1.0,120.0,87.0,2018,1,1
25,0.0,74,15,10,1011,18,26,20,25,22,1,2,2018-01-01,14.0,Haze.,22.0,22.0,1011.0,1.0,120.0,87.0,2018,1,1
25,0.0,74,15,10,1011,20,26,20,25,22,1,3,2018-01-01,14.0,Haze.,22.0,22.0,1011.0,1.0,120.0,87.0,2018,1,1
25,0.0,72,17,10,1011,17,27,20,25,23,1,4,2018-01-01,14.0,Haze.,22.0,22.0,1011.0,1.0,120.0,87.0,2018,1,1
26,0.0,71,18,10,1012,15,27,20,26,24,1,5,2018-01-01,14.0,Haze.,22.0,22.0,1011.0,1.0,120.0,87.0,2018,1,1
26,0.0,69,19,10,1012,13,28,20,26,24,7,6,2018-01-01,6.0,Partly sunny.,27.0,21.0,1012.0,3.0,300.0,77.0,2018,1,1
27,0.0,66,22,10,1012,15,29,20,27,27,7,7,2018-01-01,6.0,Partly sunny.,27.0,21.0,1012.0,3.0,300.0,77.0,2018,1,1
28,0.0,64,25,10,1012,17,30,20,28,29,7,8,2018-01-01,6.0,Partly sunny.,27.0,21.0,1012.0,3.0,300.0,77.0,2018,1,1
29,0.0,61,28,10,1012,19,31,20,29,32,7,9,2018-01-01,6.0,Partly sunny.,27.0,21.0,1012.0,3.0,300.0,77.0,2018,1,1
29,0.0,61,28,10,1012,32,31,21,29,32,7,10,2018-01-01,6.0,Partly sunny.,27.0,21.0,1012.0,3.0,300.0,77.0,2018,1,1
29,0.0,62,28,10,1011,44,31,21,29,32,7,11,2018-01-01,6.0,Partly sunny.,27.0,21.0,1012.0,3.0,300.0,77.0,2018,1,1
29,0.0,62,28,10,1010,57,31,21,29,32,7,12,2018-01-01,6.0,Partly sunny.,28.0,28.0,1009.0,5.0,60.0,60.0,2018,1,1
28,0.0,64,27,10,1010,57,30,21,28,33,7,13,2018-01-01,6.0,Partly sunny.,28.0,28.0,1009.0,5.0,60.0,60.0,2018,1,1
28,0.0,66,26,10,1010,58,30,21,28,34,7,14,2018-01-01,6.0,Partly sunny.,28.0,28.0,1009.0,5.0,60.0,60.0,2018,1,1
27,0.0,68,26,10,1010,58,29,21,27,35,7,15,2018-01-01,6.0,Partly sunny.,28.0,28.0,1009.0,5.0,60.0,60.0,2018,1,1
27,0.0,69,24,10,1010,69,29,21,27,34,7,16,2018-01-01,6.0,Partly sunny.,28.0,28.0,1009.0,5.0,60.0,60.0,2018,1,1
26,0.0,70,23,10,1011,80,28,21,26,33,6,17,2018-01-01,6.0,Partly sunny.,28.0,28.0,1009.0,5.0,60.0,60.0,2018,1,1
26,0.0,71,22,10,1011,90,28,21,26,32,1,18,2018-01-01,17.0,Overcast.,26.0,24.0,1011.0,1.0,270.0,77.0,2018,1,1
26,0.0,72,22,10,1012,76,28,21,26,32,1,19,2018-01-01,17.0,Overcast.,26.0,24.0,1011.0,1.0,270.0,77.0,2018,1,1
26,0.0,72,22,10,1012,62,28,21,26,32,1,20,2018-01-01,17.0,Overcast.,26.0,24.0,1011.0,1.0,270.0,77.0,2018,1,1
26,0.0,73,22,10,1012,48,28,21,26,32,1,21,2018-01-01,17.0,Overcast.,26.0,24.0,1011.0,1.0,270.0,77.0,2018,1,1
26,0.0,73,19,10,1012,46,28,21,26,28,1,22,2018-01-01,17.0,Overcast.,26.0,24.0,1011.0,1.0,270.0,77.0,2018,1,1
26,0.0,73,16,10,1011,44,28,21,26,24,1,23,2018-01-01,17.0,Overcast.,26.0,24.0,1011.0,1.0,270.0,77.0,2018,1,1
26,0.0,73,14,10,1011,42,28,21,26,20,1,0,2018-01-02,14.0,Passing clouds.,23.0,23.0,1010.0,1.0,340.0,86.0,2018,1,2
26,0.0,73,17,10,1011,42,28,21,26,24,1,1,2018-01-02,14.0,Passing clouds.,23.0,23.0,1010.0,1.0,340.0,86.0,2018,1,2
26,0.0,74,20,10,1011,42,28,21,26,29,1,2,2018-01-02,14.0,Passing clouds.,23.0,23.0,1010.0,1.0,340.0,86.0,2018,1,2
26,0.0,74,23,10,1010,42,28,21,26,34,1,3,2018-01-02,14.0,Passing clouds.,23.0,23.0,1010.0,1.0,340.0,86.0,2018,1,2
26,0.0,73,20,10,1011,42,28,21,26,29,1,4,2018-01-02,14.0,Passing clouds.,23.0,23.0,1010.0,1.0,340.0,86.0,2018,1,2
26,0.0,71,17,10,1011,43,28,21,26,23,1,5,2018-01-02,14.0,Passing clouds.,23.0,23.0,1010.0,1.0,340.0,86.0,2018,1,2
27,0.0,70,14,10,1012,44,29,21,27,18,7,6,2018-01-02,6.0,Partly sunny.,28.0,25.0,1011.0,3.0,0.0,72.0,2018,1,2
27,0.0,68,21,10,1012,58,29,21,27,26,7,7,2018-01-02,6.0,Partly sunny.,28.0,25.0,1011.0,3.0,0.0,72.0,2018,1,2
28,0.0,67,27,10,1012,73,30,21,28,34,6,8,2018-01-02,6.0,Partly sunny.,28.0,25.0,1011.0,3.0,0.0,72.0,2018,1,2
28,0.0,65,33,10,1012,88,30,21,28,41,6,9,2018-01-02,6.0,Partly sunny.,28.0,25.0,1011.0,3.0,0.0,72.0,2018,1,2
28,0.0,65,35,10,1012,76,30,21,28,42,6,10,2018-01-02,6.0,Partly sunny.,28.0,25.0,1011.0,3.0,0.0,72.0,2018,1,2
28,0.0,65,36,10,1011,64,30,21,28,43,7,11,2018-01-02,6.0,Partly sunny.,28.0,25.0,1011.0,3.0,0.0,72.0,2018,1,2
28,0.0,64,37,10,1011,51,30,21,28,44,7,12,2018-01-02,7.0,Overcast.,29.0,28.0,1009.0,7.0,60.0,58.0,2018,1,2
27,0.0,66,36,10,1010,48,29,20,27,45,7,13,2018-01-02,7.0,Overcast.,29.0,28.0,1009.0,7.0,60.0,58.0,2018,1,2
27,0.0,68,34,10,1010,44,29,20,27,45,7,14,2018-01-02,7.0,Overcast.,29.0,28.0,1009.0,7.0,60.0,58.0,2018,1,2
26,0.0,69,33,10,1010,40,28,20,26,46,7,15,2018-01-02,7.0,Overcast.,29.0,28.0,1009.0,7.0,60.0,58.0,2018,1,2
26,0.0,70,31,10,1011,55,28,20,26,44,7,16,2018-01-02,7.0,Overcast.,29.0,28.0,1009.0,7.0,60.0,58.0,2018,1,2
26,0.0,70,30,10,1011,71,28,20,26,43,6,17,2018-01-02,7.0,Overcast.,29.0,28.0,1009.0,7.0,60.0,58.0,2018,1,2
26,0.0,70,28,10,1011,86,28,20,26,41,1,18,2018-01-02,14.0,Passing clouds.,27.0,26.0,1010.0,3.0,30.0,69.0,2018,1,2
26,0.0,71,29,8,1011,81,28,20,26,42,1,19,2018-01-02,14.0,Passing clouds.,27.0,26.0,1010.0,3.0,30.0,69.0,2018,1,2
26,0.2,71,30,7,1011,75,28,20,26,44,1,20,2018-01-02,14.0,Passing clouds.,27.0,26.0,1010.0,3.0,30.0,69.0,2018,1,2
26,0.2,71,31,5,1011,70,28,20,26,45,1,21,2018-01-02,14.0,Passing clouds.,27.0,26.0,1010.0,3.0,30.0,69.0,2018,1,2
26,0.1,72,29,7,1011,64,28,20,26,42,1,22,2018-01-02,14.0,Passing clouds.,27.0,26.0,1010.0,3.0,30.0,69.0,2018,1,2
26,0.0,73,27,8,1011,57,28,20,26,40,1,23,2018-01-02,14.0,Passing clouds.,27.0,26.0,1010.0,3.0,30.0,69.0,2018,1,2
